"Driver","ST","50%","10%","FIN","HI","LW","AVG","PC D","Pass","Passed","PS D","Q PASS","Fast","%T15","TOT Led","Laps","Rating","TOT PTS"
"Alex Bowman","2","3","23","11","1","34","11.0","-9","245","192","+53","104","8","66.2%","0","207","89.9","35"
"Aric Almirola","8","10","12","32","1","31","12.5","-24","286","313","-27","217","1","76.8%","0","190","87.3","13"
"Austin Dillon","20","14","17","16","13","35","22.6","+4","192","196","-4","23","3","7.3%","0","205","52.5","21"
"BJ McLeod","38","37","36","19","8","39","33.6","+19","72","84","-12","4","0","2.9%","0","200","37.0","0"
"Brad Keselowski","35","12","26","12","2","37","16.9","+23","285","277","+8","117","5","51.7%","0","207","75.4","32"
"Brendan Gaughan","30","28","32","23","7","36","28.3","+7","95","109","-14","7","2","5.8%","0","197","49.9","0"
"Bubba Wallace","13","40","38","38","1","40","32.6","-25","143","128","+15","105","0","16.4%","0","169","53.2","1"
"Casey Mears","40","30","40","40","10","40","34.3","+0","85","61","+24","4","1","3.9%","0","104","36.5","1"
"Chase Elliott","18","6","13","17","4","36","13.4","+1","300","262","+38","159","6","69.6%","0","200","87.2","24"
"Chris Buescher","15","32","28","37","6","38","29.3","-22","115","123","-8","49","2","9.7%","0","190","46.7","1"
"Clint Bowyer","6","18","3","20","2","33","11.6","-14","293","316","-23","208","2","71.5%","0","199","85.4","17"
"Cody Ware","37","36","39","39","9","40","35.3","-2","44","56","-12","4","0","2.4%","0","155","25.7","1"
"Corey Lajoie","32","38","35","18","11","40","36.2","+14","58","66","-8","5","1","1.0%","0","200","36.6","19"
"Daniel Hemric","29","24","19","34","1","39","22.6","-5","252","233","+19","48","6","16.4%","1","190","55.4","3"
"Daniel Suarez","23","7","15","33","1","31","14.6","-10","320","333","-13","189","2","59.4%","0","190","77.4","14"
"David Ragan","24","33","7","30","4","37","23.0","-6","280","308","-28","119","5","24.2%","0","190","67.1","7"
"Denny Hamlin","10","21","1","1","1","33","12.1","+9","269","246","+23","154","2","58.9%","30","207","87.5","45"
"Erik Jones","28","5","31","3","2","31","12.2","+25","304","278","+26","164","10","69.1%","0","207","93.5","35"
"Jamie McMurray","16","29","16","22","1","39","22.6","-6","221","239","-18","75","7","25.1%","4","198","62.8","15"
"Jimmie Johnson","17","20","25","9","1","34","14.4","+8","315","293","+22","209","6","58.0%","0","207","88.4","30"
"Joey Logano","4","11","10","4","1","32","10.8","+0","313","323","-10","232","3","79.7%","11","207","91.0","42"
"Kevin Harvick","3","8","8","26","2","34","9.9","-23","293","313","-20","229","2","81.6%","0","194","91.7","17"
"Kurt Busch","12","39","37","25","1","40","31.4","-13","102","119","-17","69","3","16.4%","0","196","57.2","12"
"Kyle Busch","31","2","2","2","1","31","6.2","+29","249","191","+58","183","4","91.3%","37","207","109.2","45"
"Kyle Larson","26","19","29","7","3","39","18.8","+19","362","370","-8","109","9","28.5%","0","207","74.7","33"
"Landon Cassill","27","35","33","24","11","38","28.5","+3","137","137","+0","11","9","5.8%","0","196","54.3","13"
"Martin Truex Jr","11","15","27","35","2","34","23.2","-24","175","197","-22","74","4","15.0%","0","190","56.8","2"
"Matt DiBenedetto","9","1","4","28","1","26","10.2","-19","256","241","+15","203","8","73.0%","49","190","105.3","14"
"Matt Tifft","33","23","18","36","8","38","25.2","-3","196","204","-8","13","4","5.3%","0","190","48.3","1"
"Michael McDowell","34","27","5","5","1","38","19.4","+29","273","258","+15","107","5","38.2%","2","207","72.1","32"
"Parker Kligerman","25","25","34","15","7","37","29.1","+10","143","155","-12","10","2","5.8%","0","205","47.9","0"
"Paul Menard","7","31","6","29","4","38","19.9","-22","253","293","-40","126","2","37.2%","0","190","69.9","8"
"Ricky Stenhouse Jr","5","16","9","13","1","35","11.0","-8","311","319","-8","215","2","76.8%","16","207","90.4","30"
"Ross Chastain","36","34","30","10","9","39","30.7","+26","63","56","+7","7","4","10.1%","0","207","49.1","0"
"Ryan Blaney","14","9","11","31","1","36","13.2","-17","268","286","-18","182","0","69.1%","13","190","78.6","22"
"Ryan Newman","19","13","22","14","5","38","20.0","+5","198","234","-36","50","9","30.9%","0","207","66.0","23"
"Ryan Preece","21","17","14","8","3","35","21.0","+13","248","248","+0","50","4","25.6%","0","207","62.3","29"
"Ty Dillon","22","22","24","6","4","38","21.5","+16","211","240","-29","38","10","20.3%","0","207","65.8","31"
"Tyler Reddick","39","26","20","27","5","40","23.4","+12","309","244","+65","60","3","13.5%","0","191","61.9","0"
"William Byron","1","4","21","21","1","29","7.5","-20","220","213","+7","141","5","79.7%","44","198","114.0","25"
