"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","PO PTS","Laps","Led","x Led","S1","S2","STUS"
"1","8","41","Kurt Busch","Ford","48","40","8","0","200","1","0","0","0","Running"
"2","36","21","Ryan Blaney","Ford","44","35","9","0","200","2","0","0","0","Running"
"3","38","47","AJ Allmendinger","Chevrolet","39","34","5","0","200","2","0","0","0","Running"
"4","13","43","Aric Almirola","Ford","33","33","0","0","200","2","0","0","0","Running"
"5","33","27","Paul Menard","Chevrolet","32","32","0","0","200","0","0","0","0","Running"
"6","15","22","Joey Logano","Ford","40","31","9","0","200","16","0","0","0","Running"
"7","26","5","Kasey Kahne","Chevrolet","30","30","0","0","200","7","0","0","0","Running"
"8","30","15","Michael Waltrip","Toyota","29","29","0","0","200","0","0","0","0","Running"
"9","25","32","Matt DiBenedetto","Ford","28","28","0","0","200","0","0","0","0","Running"
"10","11","6","Trevor Bayne","Ford","27","27","0","0","200","0","0","0","0","Running"
"11","39","75","Brendan Gaughan","Chevrolet","26","26","0","0","200","0","0","0","0","Running"
"12","16","42","Kyle Larson","Chevrolet","33","25","8","0","200","16","0","0","0","Running"
"13","35","78","Martin Truex Jr","Toyota","24","24","0","0","200","2","0","0","0","Running"
"14","1","24","Chase Elliott","Chevrolet","23","23","0","0","200","39","0","0","0","Running"
"15","22","95","Michael McDowell","Chevrolet","22","22","0","0","200","0","0","0","0","Running"
"16","27","34","Landon Cassill","Ford","21","21","0","0","199","0","0","0","0","Running"
"17","4","11","Denny Hamlin","Toyota","23","20","3","0","199","0","0","0","0","Running"
"18","17","72","Cole Whitt","Ford","19","19","0","0","199","3","0","0","0","Running"
"19","10","3","Austin Dillon","Chevrolet","18","18","0","0","199","7","0","0","0","Running"
"20","40","7","Elliott Sadler","Chevrolet","17","17","0","0","199","5","0","0","0","Running"
"21","14","31","Ryan Newman","Chevrolet","18","16","2","0","198","0","0","0","0","Running"
"22","5","4","Kevin Harvick","Ford","34","15","19","0","197","50","0","0","0","Running"
"23","29","23","Joey Gase","Toyota","14","14","0","0","196","0","0","0","0","Running"
"24","31","83","Corey Lajoie","Toyota","13","13","0","0","193","0","0","0","0","Running"
"25","20","38","David Ragan","Ford","12","12","0","0","188","0","0","0","0","Running"
"26","32","33","Jeffrey Earnhardt","Chevrolet","11","11","0","0","145","0","0","0","0","Accident"
"27","7","2","Brad Keselowski","Ford","24","10","14","0","143","2","0","0","0","Accident"
"28","3","1","Jamie McMurray","Chevrolet","13","9","4","0","141","13","0","0","0","Accident"
"29","19","19","Daniel Suarez","Toyota","8","8","0","0","141","0","0","0","0","Accident"
"30","18","13","Ty Dillon","Chevrolet","7","7","0","0","140","0","0","0","0","Accident"
"31","23","17","Ricky Stenhouse Jr","Ford","6","6","0","0","133","0","0","0","0","Accident"
"32","6","14","Clint Bowyer","Ford","9","5","4","0","128","0","0","0","0","Accident"
"33","12","10","Danica Patrick","Ford","11","4","7","0","128","0","0","0","0","Accident"
"34","24","48","Jimmie Johnson","Chevrolet","5","3","2","0","127","7","0","0","0","Accident"
"35","37","37","Chris Buescher","Chevrolet","2","2","0","0","127","0","0","0","0","Accident"
"36","28","96","DJ Kennington","Toyota","1","1","0","0","127","0","0","0","0","Accident"
"37","2","88","Dale Earnhardt Jr","Chevrolet","7","1","6","0","106","8","0","0","0","Accident"
"38","21","18","Kyle Busch","Toyota","11","1","10","0","103","18","0","0","0","Accident"
"39","34","77","Erik Jones","Toyota","1","1","0","0","103","0","0","0","0","Accident"
"40","9","20","Matt Kenseth","Toyota","1","1","0","0","103","0","0","0","0","Accident"
