"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","Laps","Led","STUS"
"1","9","88","Dale Earnhardt Jr","Chevrolet","48","43","5","200","54","Running"
"2","4","11","Denny Hamlin","Toyota","43","42","1","200","16","Running"
"3","33","2","Brad Keselowski","Ford","42","41","1","200","13","Running"
"4","6","24","Jeff Gordon","Chevrolet","40","40","0","200","0","Running"
"5","32","48","Jimmie Johnson","Chevrolet","40","39","1","200","15","Running"
"6","3","20","Matt Kenseth","Toyota","38","38","0","200","0","Running"
"7","34","17","Ricky Stenhouse Jr","Ford","37","37","0","200","0","Running"
"8","25","16","Greg Biffle","Ford","37","36","1","200","8","Running"
"9","1","3","Austin Dillon","Chevrolet","36","35","1","200","1","Running"
"10","28","13","Casey Mears","Chevrolet","34","34","0","200","0","Running"
"11","35","22","Joey Logano","Ford","34","33","1","200","2","Running"
"12","18","40","Landon Cassill","Chevrolet","32","32","0","200","0","Running"
"13","38","4","Kevin Harvick","Chevrolet","31","31","0","200","0","Running"
"14","22","1","Jamie McMurray","Chevrolet","30","30","0","200","0","Running"
"15","26","52","Bobby Labonte","Chevrolet","29","29","0","200","0","Running"
"16","39","36","Reed Sorenson","Chevrolet","28","28","0","200","0","Running"
"17","30","99","Carl Edwards","Ford","28","27","1","200","8","Running"
"18","7","9","Marcos Ambrose","Ford","26","26","0","200","0","Running"
"19","37","18","Kyle Busch","Toyota","26","25","1","200","19","Running"
"20","24","32","Terry Labonte","Ford","24","24","0","200","0","Running"
"21","8","41","Kurt Busch","Chevrolet","24","23","1","199","15","Running"
"22","19","31","Ryan Newman","Chevrolet","22","22","0","199","0","Running"
"23","29","23","Alex Bowman","Toyota","21","21","0","198","0","Running"
"24","11","98","Josh Wise","Ford","20","20","0","196","0","Running"
"24","11","98","Josh Wise","Ford","20","20","0","196","0","Running"
"25","12","33","Brian Scott","Chevrolet","19","19","0","196","0","Running"
"26","15","47","AJ Allmendinger","Chevrolet","19","18","1","194","1","Running"
"27","40","51","Justin Allgaier","Chevrolet","18","17","1","193","4","Accident"
"28","23","26","Cole Whitt","Toyota","16","16","0","193","0","Accident"
"29","41","30","Parker Kligerman","Toyota","15","15","0","193","0","Accident"
"30","31","55","Brian Vickers","Toyota","14","14","0","192","0","Running"
"31","5","5","Kasey Kahne","Chevrolet","14","13","1","192","2","Running"
"32","10","27","Paul Menard","Chevrolet","13","12","1","184","29","Running"
"33","14","21","Trevor Bayne","Ford","11","11","0","183","0","Accident"
"34","43","34","David Ragan","Ford","10","10","0","176","0","Running"
"35","21","14","Tony Stewart","Chevrolet","9","9","0","174","0","Running"
"36","17","38","David Gilliland","Ford","8","8","0","171","0","Running"
"37","36","7","Michael Annett","Chevrolet","7","7","0","161","0","Accident"
"38","16","42","Kyle Larson","Chevrolet","6","6","0","160","0","Accident"
"39","13","43","Aric Almirola","Ford","6","5","1","146","5","Accident"
"40","27","10","Danica Patrick","Chevrolet","5","4","1","145","2","Accident"
"41","42","66","Michael Waltrip","Toyota","4","3","1","144","4","Accident"
"42","20","15","Clint Bowyer","Toyota","2","2","0","127","0","Engine"
"43","2","78","Martin Truex Jr","Chevrolet","1","1","0","30","0","Engine"
