"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","Laps","Led","STUS"
"1","5","22","Joey Logano","Ford","47","43","4","203","31","Running"
"2","11","4","Kevin Harvick","Chevrolet","42","42","0","203","0","Running"
"3","3","88","Dale Earnhardt Jr","Chevrolet","42","41","1","203","32","Running"
"4","42","11","Denny Hamlin","Toyota","41","40","1","203","4","Running"
"5","2","48","Jimmie Johnson","Chevrolet","40","39","1","203","39","Running"
"6","41","13","Casey Mears","Chevrolet","39","38","1","203","1","Running"
"7","9","15","Clint Bowyer","Toyota","37","37","0","203","0","Running"
"8","10","78","Martin Truex Jr","Chevrolet","37","36","1","203","1","Running"
"9","13","5","Kasey Kahne","Chevrolet","35","35","0","203","0","Running"
"10","8","16","Greg Biffle","Ford","35","34","1","203","2","Running"
"11","26","38","David Gilliland","Ford","33","33","0","203","0","Running"
"12","38","9","Sam Hornish Jr","Ford","32","32","0","203","0","Running"
"13","27","46","Michael Annett","Chevrolet","32","31","1","203","1","Running"
"14","30","3","Austin Dillon","Chevrolet","30","30","0","203","0","Running"
"15","33","43","Aric Almirola","Ford","29","29","0","203","0","Running"
"16","24","41","Regan Smith","Chevrolet","28","28","0","203","0","Running"
"17","28","34","David Ragan","Ford","27","27","0","203","0","Running"
"18","4","18","Matt Crafton","Toyota","26","26","0","203","0","Running"
"19","36","83","Johnny Sauter","Toyota","25","25","0","203","0","Running"
"20","40","47","AJ Allmendinger","Chevrolet","25","24","1","203","1","Running"
"21","20","10","Danica Patrick","Chevrolet","23","23","0","203","0","Running"
"22","19","35","Cole Whitt","Ford","22","22","0","203","0","Running"
"23","6","19","Carl Edwards","Toyota","22","21","1","203","3","Running"
"24","43","32","Bobby Labonte","Ford","20","20","0","203","0","Running"
"25","21","27","Paul Menard","Chevrolet","19","19","0","203","0","Running"
"26","34","55","Michael Waltrip","Toyota","18","18","0","203","0","Running"
"27","15","1","Jamie McMurray","Chevrolet","17","17","0","203","0","Running"
"28","31","33","Ty Dillon","Chevrolet","16","16","0","203","0","Running"
"29","32","17","Ricky Stenhouse Jr","Ford","15","15","0","203","0","Running"
"30","37","6","Trevor Bayne","Ford","14","14","0","203","0","Running"
"31","23","95","Michael McDowell","Ford","13","13","0","203","0","Running"
"32","14","44","Reed Sorenson","Chevrolet","12","12","0","203","0","Running"
"33","1","24","Jeff Gordon","Chevrolet","13","11","2","203","87","Running"
"34","29","42","Kyle Larson","Chevrolet","10","10","0","202","0","Accident"
"35","35","20","Matt Kenseth","Toyota","9","9","0","202","0","Running"
"36","16","66","Mike Wallace","Toyota","8","8","0","199","0","Running"
"37","18","51","Justin Allgaier","Chevrolet","7","7","0","197","0","Accident"
"38","22","31","Ryan Newman","Chevrolet","6","6","0","184","0","Running"
"39","12","21","Ryan Blaney","Ford","5","5","0","175","0","Engine"
"40","25","23","JJ Yeley","Toyota","4","4","0","161","0","Running"
"41","39","2","Brad Keselowski","Ford","3","3","0","160","0","Engine"
"42","7","14","Tony Stewart","Chevrolet","2","2","0","72","0","Accident"
"43","17","40","Landon Cassill","Chevrolet","1","1","0","18","0","Engine"
