"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","PO PTS","Laps","Led","x Led","S1","S2","STUS"
"1","14","3","Austin Dillon","Chevrolet","42","40","2","0","207","1","0","0","0","Running"
"2","7","43","Bubba Wallace","Chevrolet","39","35","4","0","207","0","0","0","0","Running"
"3","2","11","Denny Hamlin","Toyota","35","34","1","0","207","22","0","0","0","Running"
"4","5","22","Joey Logano","Ford","41","33","8","0","207","3","0","0","0","Running"
"5","21","37","Chris Buescher","Chevrolet","32","32","0","0","207","0","0","0","0","Running"
"6","16","21","Paul Menard","Ford","42","31","11","0","207","1","0","0","0","Running"
"7","3","12","Ryan Blaney","Ford","48","30","18","0","207","118","0","0","0","Running"
"8","13","31","Ryan Newman","Chevrolet","29","29","0","0","207","0","0","0","0","Running"
"9","22","34","Michael McDowell","Ford","39","28","11","0","207","0","0","0","0","Running"
"10","20","47","AJ Allmendinger","Chevrolet","27","27","0","0","207","1","0","0","0","Running"
"11","37","10","Aric Almirola","Ford","33","26","7","0","206","1","0","0","0","Running"
"12","29","51","Justin Marks","Chevrolet","25","25","0","0","206","1","0","0","0","Running"
"13","18","13","Trevor Bayne","Chevrolet","28","24","4","0","206","0","0","0","0","Running"
"14","39","92","David Gilliland","Ford","23","23","0","0","206","0","0","0","0","Running"
"15","10","14","Clint Bowyer","Ford","22","22","0","0","206","0","0","0","0","Running"
"16","19","1","Jamie McMurray","Chevrolet","21","21","0","0","205","0","0","0","0","Running"
"17","1","88","Alex Bowman","Chevrolet","29","20","9","0","205","13","0","0","0","Running"
"18","24","78","Martin Truex Jr","Toyota","30","19","11","0","205","4","0","0","0","Running"
"19","38","42","Kyle Larson","Chevrolet","18","18","0","0","204","0","0","0","0","Running"
"20","34","23","Gray Gaulding","Toyota","17","17","0","0","204","0","0","0","0","Running"
"21","27","00","Jeffrey Earnhardt","Chevrolet","16","16","0","0","204","0","0","0","0","Running"
"22","40","66","Mark Thompson","Ford","15","15","0","0","203","0","0","0","0","Running"
"23","33","24","William Byron","Chevrolet","14","14","0","0","203","0","0","0","0","Running"
"24","30","96","DJ Kennington","Toyota","13","13","0","0","201","0","0","0","0","Running"
"25","12","18","Kyle Busch","Toyota","12","12","0","0","200","0","0","0","0","Running"
"26","11","41","Kurt Busch","Ford","21","11","10","0","198","16","0","0","0","Accident"
"27","36","32","Matt DiBenedetto","Ford","10","10","0","0","198","0","0","0","0","Accident"
"28","25","62","Brendan Gaughan","Chevrolet","9","9","0","0","198","0","0","0","0","Accident"
"29","9","17","Ricky Stenhouse Jr","Ford","15","8","7","0","197","11","0","0","0","Accident"
"30","15","38","David Ragan","Ford","7","7","0","0","107","0","0","0","0","Accident"
"31","6","4","Kevin Harvick","Ford","10","6","4","0","105","0","0","0","0","Accident"
"32","31","2","Brad Keselowski","Ford","5","5","0","0","102","0","0","0","0","Accident"
"33","4","9","Chase Elliott","Chevrolet","7","4","3","0","101","4","0","0","0","Accident"
"34","26","95","Kasey Kahne","Chevrolet","3","3","0","0","101","0","0","0","0","Accident"
"35","28","7","Danica Patrick","Chevrolet","2","2","0","0","101","0","0","0","0","Accident"
"36","8","20","Erik Jones","Toyota","1","1","0","0","59","11","0","0","0","Accident"
"37","17","19","Daniel Suarez","Toyota","1","1","0","0","59","0","0","0","0","Accident"
"38","35","48","Jimmie Johnson","Chevrolet","1","1","0","0","59","0","0","0","0","Accident"
"39","23","6","Ty Dillon","Ford","1","1","0","0","59","0","0","0","0","Accident"
"40","32","72","Corey Lajoie","Chevrolet","1","1","0","0","8","0","0","0","0","Engine"
