"FIN","ST","Car #","Driver","Make","TOT PTS","F PTS","B PTS","Laps","Led","STUS"
"1","4","17","Matt Kenseth","Ford","47","43","4","202","50","Running"
"2","5","88","Dale Earnhardt Jr","Chevrolet","42","42","0","202","0","Running"
"3","2","16","Greg Biffle","Ford","42","41","1","202","44","Running"
"4","31","11","Denny Hamlin","Toyota","42","40","2","202","57","Running"
"5","9","31","Jeff Burton","Chevrolet","40","39","1","202","24","Running"
"6","37","27","Paul Menard","Chevrolet","39","38","1","202","2","Running"
"7","13","29","Kevin Harvick","Chevrolet","37","37","0","202","0","Running"
"8","1","99","Carl Edwards","Ford","36","36","0","202","0","Running"
"9","12","20","Joey Logano","Toyota","36","35","1","202","2","Running"
"10","22","55","Mark Martin","Toyota","35","34","1","202","2","Running"
"11","30","15","Clint Bowyer","Toyota","33","33","0","202","0","Running"
"12","26","56","Martin Truex Jr","Toyota","33","32","1","202","7","Running"
"13","7","9","Marcos Ambrose","Ford","31","31","0","202","0","Running"
"14","32","47","Bobby Labonte","Toyota","30","30","0","202","0","Running"
"15","24","36","Dave Blaney","Chevrolet","30","29","1","202","6","Running"
"16","3","14","Tony Stewart","Chevrolet","29","28","1","202","2","Running"
"17","14","18","Kyle Busch","Toyota","27","27","0","202","0","Running"
"18","43","32","Terry Labonte","Ford","27","26","1","202","3","Running"
"19","41","26","Tony Raines","Ford","25","25","0","202","0","Running"
"20","21","6","Ricky Stenhouse Jr","Ford","24","24","0","202","0","Running"
"21","18","39","Ryan Newman","Chevrolet","23","23","0","202","0","Running"
"22","39","83","Landon Cassill","Toyota","22","22","0","202","0","Running"
"23","33","38","David Gilliland","Ford","21","21","0","201","0","Running"
"24","6","78","Regan Smith","Chevrolet","21","20","1","200","2","Running"
"25","36","13","Casey Mears","Ford","19","19","0","199","0","Running"
"26","38","93","David Reutimann","Toyota","18","18","0","196","0","Accident"
"27","10","33","Elliott Sadler","Chevrolet","17","17","0","196","0","Running"
"28","34","87","Joe Nemechek","Toyota","16","16","0","194","0","Running"
"29","20","5","Kasey Kahne","Chevrolet","15","15","0","189","0","Accident"
"30","11","98","Michael McDowell","Ford","14","14","0","189","0","Running"
"31","19","1","Jamie McMurray","Chevrolet","13","13","0","188","0","Accident"
"32","23","2","Brad Keselowski","Dodge","12","12","0","187","0","Accident"
"33","27","43","Aric Almirola","Ford","11","11","0","187","0","Accident"
"34","15","22","AJ Allmendinger","Dodge","10","10","0","177","0","Running"
"35","40","21","Trevor Bayne","Ford","9","9","0","164","0","Running"
"36","35","42","Juan Pablo Montoya","Chevrolet","8","8","0","159","0","Accident"
"37","42","30","David Stremme","Toyota","7","7","0","156","0","Engine"
"38","29","10","Danica Patrick","Chevrolet","6","6","0","138","0","Running"
"39","28","51","Kurt Busch","Chevrolet","5","5","0","113","0","Running"
"40","16","24","Jeff Gordon","Chevrolet","5","4","1","81","1","Engine"
"41","17","7","Robby Gordon","Dodge","3","3","0","25","0","Engine"
"42","8","48","Jimmie Johnson","Chevrolet","2","2","0","1","0","Accident"
"43","25","34","David Ragan","Ford","1","1","0","1","0","Accident"
